fiscal_year,fund,department,class,total
2026,General Fund,Office of the Chief Administrative Officer,Personal Services,8707869
2026,General Fund,Office of the Chief Administrative Officer,Purchase of Services,3084645
2026,General Fund,Office of the Chief Administrative Officer,"Materials, Supplies & Equip.",141886
2026,General Fund,Office of Arts and Culture and the Creative Economy,Personal Services,919833
2026,General Fund,Office of Arts and Culture and the Creative Economy,Purchase of Services,400768
2026,General Fund,Office of Arts and Culture and the Creative Economy,"Materials, Supplies & Equip.",10000
2026,General Fund,Office of Arts and Culture and the Creative Economy,"Contrib., Indemnities & Taxes",8400000
2026,General Fund,Office of Community Empowerment and Opportunity,Personal Services,1659447
2026,General Fund,Office of Community Empowerment and Opportunity,Purchase of Services,3448357
2026,General Fund,Office of Community Empowerment and Opportunity,"Materials, Supplies & Equip.",15998
2026,General Fund,Office of Education,Personal Services,4402104
2026,General Fund,Office of Education,Purchase of Services,4673399
2026,General Fund,Office of Education,"Materials, Supplies & Equip.",134937
2026,General Fund,Office of Homeless Services,Personal Services,11415485
2026,General Fund,Office of Homeless Services,Purchase of Services,72396005
2026,General Fund,Office of Homeless Services,"Materials, Supplies & Equip.",344127
2026,General Fund,Office of Homeless Services,"Contrib., Indemnities & Taxes",32421
2026,General Fund,Office of Human Resources,Personal Services,7528300
2026,General Fund,Office of Human Resources,Purchase of Services,10757871
2026,General Fund,Office of Human Resources,"Materials, Supplies & Equip.",72903
2026,General Fund,Office of Innovation and Technology,Personal Services,34107725
2026,General Fund,Office of Innovation and Technology,Purchase of Services,73200955
2026,General Fund,Office of Innovation and Technology,"Materials, Supplies & Equip.",11133602
2026,General Fund,Office of Innovation and Technology,"Contrib., Indemnities & Taxes",0
2026,General Fund,Office of Innovation and Technology,Payments to Other Funds,0
2026,General Fund,Office of Innovation and Technology-911,Personal Services,1908732
2026,General Fund,Office of Innovation and Technology-911,Purchase of Services,20716856
2026,General Fund,Office of Innovation and Technology-911,"Materials, Supplies & Equip.",18998646
2026,General Fund,Office of the Inspector General,Personal Services,2534057
2026,General Fund,Office of the Inspector General,Purchase of Services,474695
2026,General Fund,Office of the Inspector General,"Materials, Supplies & Equip.",8665
2026,General Fund,Office of Property Assessment,Personal Services,16618749
2026,General Fund,Office of Property Assessment,Purchase of Services,2986020
2026,General Fund,Office of Property Assessment,"Materials, Supplies & Equip.",362600
2026,General Fund,Office of Public Safety,Personal Services,9305263
2026,General Fund,Office of Public Safety,Purchase of Services,57549103
2026,General Fund,Office of Public Safety,"Materials, Supplies & Equip.",318880
2026,General Fund,Office of Public Safety- Office of Prison Oversight,Personal Services,1021158
2026,General Fund,Office of Public Safety- Office of Prison Oversight,Purchase of Services,349027
2026,General Fund,Office of Public Safety- Office of Prison Oversight,"Materials, Supplies & Equip.",27922
2026,General Fund,Office of Sustainability,Personal Services,2053333
2026,General Fund,Office of Sustainability,Purchase of Services,1024484
2026,General Fund,Office of Sustainability,"Materials, Supplies & Equip.",2500
2026,General Fund,Office of Sustainability,"Contrib., Indemnities & Taxes",0
2026,General Fund,Office of Sustainability,Payments to Other Funds,175000
2026,General Fund,Parks and Recreation,Personal Services,67057180
2026,General Fund,Parks and Recreation,Purchase of Services,12053442
2026,General Fund,Parks and Recreation,"Materials, Supplies & Equip.",4705038
2026,General Fund,Parks and Recreation,"Contrib., Indemnities & Taxes",3500000
2026,General Fund,Parks and Recreation,Payments to Other Funds,0
2026,General Fund,Planning and Development,Personal Services,7680981
