fiscal_year,fund,department,tag_peoples_budget,class,total
2027,General Fund,Managing Director - Citizens Police Oversight Commission,Government Operations,"Materials, Supplies & Equip.",0
2027,General Fund,Managing Director - Clean & Green,Government Operations,Personal Services,0
2027,General Fund,Managing Director - Clean & Green,Government Operations,Purchase of Services,0
2027,General Fund,Managing Director - Clean & Green,Government Operations,"Materials, Supplies & Equip.",0
2027,General Fund,Managing Director - Public Safety,Government Operations,Personal Services,0
2027,General Fund,Managing Director - Public Safety,Government Operations,Purchase of Services,0
2027,General Fund,Managing Director - Public Safety,Government Operations,"Materials, Supplies & Equip.",0
2027,General Fund,Mayor's Office,Government Operations,Personal Services,11217634
2027,General Fund,Mayor's Office,Government Operations,Purchase of Services,2343826
2027,General Fund,Mayor's Office,Government Operations,"Materials, Supplies & Equip.",158911
2027,General Fund,Mayor's Office,Government Operations,"Contrib., Indemnities & Taxes",0
2027,General Fund,Neighborhood Community Action Centers,Housing & Homeless Services,Personal Services,3454081
2027,General Fund,Neighborhood Community Action Centers,Housing & Homeless Services,Purchase of Services,913339
2027,General Fund,Neighborhood Community Action Centers,Housing & Homeless Services,"Materials, Supplies & Equip.",112000
2027,General Fund,Neighborhood Community Action Centers,Housing & Homeless Services,"Contrib., Indemnities & Taxes",0
2027,General Fund,Mural Arts Program,Arts & Culture,Personal Services,666048
2027,General Fund,Mural Arts Program,Arts & Culture,Purchase of Services,3054141
2027,General Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,Personal Services,4154985
2027,General Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,Purchase of Services,28145405
2027,General Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,"Materials, Supplies & Equip.",204000
2027,General Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,"Contrib., Indemnities & Taxes",0
2027,General Fund,Office of the Chief Administrative Officer,Government Operations,Personal Services,10492400
2027,General Fund,Office of the Chief Administrative Officer,Government Operations,Purchase of Services,2977998
2027,General Fund,Office of the Chief Administrative Officer,Government Operations,"Materials, Supplies & Equip.",129533
2027,General Fund,Office of Arts and Culture and the Creative Economy,Arts & Culture,Personal Services,935235
2027,General Fund,Office of Arts and Culture and the Creative Economy,Arts & Culture,Purchase of Services,1325768
2027,General Fund,Office of Arts and Culture and the Creative Economy,Arts & Culture,"Materials, Supplies & Equip.",10000
2027,General Fund,Office of Arts and Culture and the Creative Economy,Arts & Culture,"Contrib., Indemnities & Taxes",4300000
2027,General Fund,Office of Community Empowerment and Opportunity,Immigration Services,Personal Services,2413855
2027,General Fund,Office of Community Empowerment and Opportunity,Immigration Services,Purchase of Services,4950607
2027,General Fund,Office of Community Empowerment and Opportunity,Immigration Services,"Materials, Supplies & Equip.",34998
2027,General Fund,Office of Education,Schools & Early Childhood Education,Personal Services,4627859
2027,General Fund,Office of Education,Schools & Early Childhood Education,Purchase of Services,5112739
2027,General Fund,Office of Education,Schools & Early Childhood Education,"Materials, Supplies & Equip.",153787
2027,General Fund,Office of Homeless Services,Housing & Homeless Services,Personal Services,12306871
2027,General Fund,Office of Homeless Services,Housing & Homeless Services,Purchase of Services,72692842
2027,General Fund,Office of Homeless Services,Housing & Homeless Services,"Materials, Supplies & Equip.",344127
2027,General Fund,Office of Homeless Services,Housing & Homeless Services,"Contrib., Indemnities & Taxes",0
2027,General Fund,Office of Human Resources,Government Operations,Personal Services,8061912
2027,General Fund,Office of Human Resources,Government Operations,Purchase of Services,14831619
2027,General Fund,Office of Human Resources,Government Operations,"Materials, Supplies & Equip.",72903
2027,General Fund,Office of Innovation and Technology,Government Operations,Personal Services,35487971
2027,General Fund,Office of Innovation and Technology,Government Operations,Purchase of Services,83413846
2027,General Fund,Office of Innovation and Technology,Government Operations,"Materials, Supplies & Equip.",12355834
2027,General Fund,Office of Innovation and Technology,Government Operations,"Contrib., Indemnities & Taxes",0
2027,General Fund,Office of Innovation and Technology,Government Operations,Payments to Other Funds,0
2027,General Fund,Office of Innovation and Technology - 911,Government Operations,Personal Services,1908732
2027,General Fund,Office of Innovation and Technology - 911,Government Operations,Purchase of Services,16637321
2027,General Fund,Office of Innovation and Technology - 911,Government Operations,"Materials, Supplies & Equip.",8868174
2027,General Fund,Office of the Inspector General,Government Operations,Personal Services,2573317
2027,General Fund,Office of the Inspector General,Government Operations,Purchase of Services,374695
2027,General Fund,Office of the Inspector General,Government Operations,"Materials, Supplies & Equip.",8665
2027,General Fund,Office of Property Assessment,Government Operations,Personal Services,17477200
2027,General Fund,Office of Property Assessment,Government Operations,Purchase of Services,4086020
2027,General Fund,Office of Property Assessment,Government Operations,"Materials, Supplies & Equip.",362600
2027,General Fund,Office of Public Safety,Courts & the Justice System,Personal Services,11670326
2027,General Fund,Office of Public Safety,Courts & the Justice System,Purchase of Services,52714064
2027,General Fund,Office of Public Safety,Courts & the Justice System,"Materials, Supplies & Equip.",281380
2027,General Fund,Office of Public Safety - Office of Prison Oversight,Government Operations,Personal Services,1052648
2027,General Fund,Office of Public Safety - Office of Prison Oversight,Government Operations,Purchase of Services,349027
2027,General Fund,Office of Public Safety - Office of Prison Oversight,Government Operations,"Materials, Supplies & Equip.",27922
2027,General Fund,Office of Sustainability,Government Operations,Personal Services,2163233
2027,General Fund,Office of Sustainability,Government Operations,Purchase of Services,927984
2027,General Fund,Office of Sustainability,Government Operations,"Materials, Supplies & Equip.",2500
2027,General Fund,Office of Sustainability,Government Operations,"Contrib., Indemnities & Taxes",0
2027,General Fund,Office of Sustainability,Government Operations,Payments to Other Funds,0
2027,General Fund,Parks and Recreation,Parks & Recreation,Personal Services,72052757
2027,General Fund,Parks and Recreation,Parks & Recreation,Purchase of Services,10983442
2027,General Fund,Parks and Recreation,Parks & Recreation,"Materials, Supplies & Equip.",4782248
2027,General Fund,Parks and Recreation,Parks & Recreation,"Contrib., Indemnities & Taxes",1500000
2027,General Fund,Parks and Recreation,Parks & Recreation,Payments to Other Funds,0
2027,General Fund,Planning and Development,Housing & Homeless Services,Personal Services,8924662
2027,General Fund,Planning and Development,Housing & Homeless Services,Purchase of Services,15381344
2027,General Fund,Planning and Development,Housing & Homeless Services,"Materials, Supplies & Equip.",131305
2027,General Fund,Planning and Development,Housing & Homeless Services,"Contrib., Indemnities & Taxes",6000000
2027,General Fund,Police,Police,Personal Services,896422106
2027,General Fund,Police,Police,Purchase of Services,21323109
