fiscal_year,fund,department,tag_peoples_budget,class,total
2023,General Fund,Commerce,Commercial Corridors & Small Businesses,"Materials, Supplies & Equip.",62654
2023,General Fund,Commerce,Commercial Corridors & Small Businesses,"Contrib., Indemnities & Taxes",505000
2023,General Fund,Commerce - Convention Center Subsidy,Government Operations,Purchase of Services,15000000
2023,General Fund,Commerce - Economic Stimulus,Government Operations,Purchase of Services,15334550
2023,General Fund,District Attorney,Courts & the Justice System,Personal Services,43830991
2023,General Fund,District Attorney,Courts & the Justice System,Purchase of Services,3803738
2023,General Fund,District Attorney,Courts & the Justice System,"Materials, Supplies & Equip.",633417
2023,General Fund,District Attorney,Courts & the Justice System,"Contrib., Indemnities & Taxes",0
2023,General Fund,Finance,Government Operations,Personal Services,10901967
2023,General Fund,Finance,Government Operations,Purchase of Services,9672420
2023,General Fund,Finance,Government Operations,"Materials, Supplies & Equip.",4038616
2023,General Fund,Finance,Government Operations,"Contrib., Indemnities & Taxes",41205000
2023,General Fund,Finance,Government Operations,Payments to Other Funds,165066068
2023,General Fund,Finance,Government Operations,Advances and Other Misc. Payments,0
2023,General Fund,Finance - Budget Stabilization,Government Operations,Payments to Other Funds,65128000
2023,General Fund,Finance - Community College Subsidy,Government Operations,"Contrib., Indemnities & Taxes",65196653
2023,General Fund,Finance - Employee Benefits,Government Operations,Pers. Svcs.-Emp.Benefits,1605888041
2023,General Fund,Finance - Hero Scholarship Awards,Government Operations,"Contrib., Indemnities & Taxes",50000
2023,General Fund,Finance - Indemnities,Government Operations,"Contrib., Indemnities & Taxes",71496000
2023,General Fund,Finance - Reg #32,Government Operations,Personal Services,2800000
2023,General Fund,Finance - Refunds,Government Operations,"Contrib., Indemnities & Taxes",250000
2023,General Fund,Finance - School District Contribution,Government Operations,"Contrib., Indemnities & Taxes",269953201
2023,General Fund,Finance - Witness Fees,Government Operations,Purchase of Services,171518
2023,General Fund,Fire,Emergency Services,Personal Services,355085385
2023,General Fund,Fire,Emergency Services,Purchase of Services,8893282
2023,General Fund,Fire,Emergency Services,"Materials, Supplies & Equip.",24496064
2023,General Fund,Fire,Emergency Services,"Contrib., Indemnities & Taxes",0
2023,General Fund,Fire,Emergency Services,Payments to Other Funds,7055640
2023,General Fund,First Judicial District,Courts & the Justice System,Personal Services,112841137
2023,General Fund,First Judicial District,Courts & the Justice System,Purchase of Services,8643039
