fiscal_year,fund,department,class,total
2025,General Fund,Human Services,Purchase of Services,175925175
2025,General Fund,Human Services,"Materials, Supplies & Equip.",494133
2025,General Fund,Human Services,"Contrib., Indemnities & Taxes",1333500
2025,General Fund,Labor,Personal Services,3293586
2025,General Fund,Labor,Purchase of Services,556800
2025,General Fund,Labor,"Materials, Supplies & Equip.",5600
2025,General Fund,Law,Personal Services,21171665
2025,General Fund,Law,Purchase of Services,13974798
2025,General Fund,Law,"Materials, Supplies & Equip.",182747
2025,General Fund,Law,"Contrib., Indemnities & Taxes",17500
2025,General Fund,Licenses & Inspection,Personal Services,30019946
2025,General Fund,Licenses & Inspection,Purchase of Services,12303107
2025,General Fund,Licenses & Inspection,"Materials, Supplies & Equip.",748569
2025,General Fund,Licenses & Inspection,"Contrib., Indemnities & Taxes",326750
2025,General Fund,L&I-Board of Building Standards,Personal Services,91834
2025,General Fund,L&I-Board of L&I Review,Personal Services,181491
2025,General Fund,L&I-Board of L&I Review,Purchase of Services,10436
2025,General Fund,Managing Director,Personal Services,38813248
2025,General Fund,Managing Director,Purchase of Services,155133578
2025,General Fund,Managing Director,"Materials, Supplies & Equip.",5746768
2025,General Fund,Managing Director,"Contrib., Indemnities & Taxes",440254
2025,General Fund,Managing Director,Payments to Other Funds,36300000
2025,General Fund,Managing Director-Defenders Association,Purchase of Services,66497780
2025,General Fund,Managing Director-Citizens Police Oversight Commission,Personal Services,1822639
2025,General Fund,Managing Director-Citizens Police Oversight Commission,Purchase of Services,585887
2025,General Fund,Managing Director-Citizens Police Oversight Commission,"Materials, Supplies & Equip.",35407
2025,General Fund,Managing Director-Clean & Green,Personal Services,586289
2025,General Fund,Managing Director-Clean & Green,Purchase of Services,1490493
2025,General Fund,Managing Director-Clean & Green,"Materials, Supplies & Equip.",0
2025,General Fund,Managing Director-Public Safety,Personal Services,5278006
2025,General Fund,Managing Director-Public Safety,Purchase of Services,19251165
2025,General Fund,Managing Director-Public Safety,"Materials, Supplies & Equip.",227976
2025,General Fund,Mayor's Office,Personal Services,9786215
2025,General Fund,Mayor's Office,Purchase of Services,1305517
2025,General Fund,Mayor's Office,"Materials, Supplies & Equip.",149124
2025,General Fund,Mayor's Office,"Contrib., Indemnities & Taxes",1774
2025,General Fund,Neighborhood Community Action Centers,Personal Services,0
